Road ID,Shapefile ID,Road Name,PCI,Road Quality,Running PCI,Surface Material,Material Thickness,Length,Width,Lifespan,Remaining Surface Life,Asset Value,Road Surface,Area,Road Owner,Road Category,Traffic Volume,Year Resurfaced,Road From,Road To
01KP4C7Z46KWV7X153SAJN4X8D,{725670E1-DE05-448A-8C36-4136B9F3F0D8},MARTIN LUTHER KING DR,68,C,'-1.44,asphalt,2,314.5216451645727,24,6,1 Years and 7 Months,8036.177806166816,paved,,City,Arterial,,,FOSTER ST,JONES ST
01KP4C82PPMDF00JYYR2CVKZSH,{96D4FD11-760B-40A2-B051-DCBBF048978B},PAYNE ST,68,C,'-13.62,asphalt,2,871.1053674895895,40,20,5 Years and 3 Months,37095.261585731285,paved,,City,Local,,,HARE AV,E THACH AV
01KP4C7Z9Q8WAVV9HKCZKJFPNR,{C9131C2E-6C18-41D6-A375-5F532BCD5611},CEDARBROOK DR,67,C,'-7.12,asphalt,2,437.79001728668095,60,20,5 Years and 1 Months,27228.454360863525,paved,,City,Local,,,HICKORY LN,OWENS RD
01KP4C82FFGPJYJCV63AVX9XB8,{02E35462-3CA3-4899-A9E6-029ADBB9EB7F},MCKINLEY AV,67,C,'-0.94,asphalt,2,506.4348978745452,50,20,5 Years and 1 Months,26248.199210870775,paved,,City,Local,,,CONE ST,EASTWOOD ST
01KP4C85GAYNKZV6W4SX82H8M6,{627CF94F-CF3E-400D-86BF-D41318701091},SANDSTONE LN,67,C,'-3.5,asphalt,2,255.40505718233422,50,20,5 Years and 1 Months,13237.481951819314,paved,,City,Local,,,CLAY CT,
01KP4C8ACXXCBEJYHDF10QYNFS,{26B44320-750A-474C-91C6-AD7F67874CB5},LONG DRIVE CT,67,C,'-5.25,asphalt,2,174.51682387221842,50,20,5 Years and 1 Months,9045.096176964462,paved,,City,Cul-de-sac,,,CADDY CT,
01KP4C8AAE1GVGARPNR89WPNT7,{8761C340-C41B-4EA9-B7BF-2E3FCDF8DC2D},FAIRWAY DR,67,C,11,asphalt,2,648.4286895248624,50,20,5 Years and 1 Months,33607.64727731836,paved,,City,Local,,,,BELCASTEL CT
01KP4C85P08YM5TVCPYBSHNWVH,{2495EEB2-D971-4174-A312-D6AD8871C116},RAYMER PL,67,C,5.75,asphalt,2,526.4956473373873,50,20,5 Years and 1 Months,27287.93511854609,paved,,City,Local,,,PRESLEY CT,DURHAM CT
01KP4C7W4K2BJ9WDDCVT7X77ZC,{A3A8F5FC-D2EB-4C9C-B243-975F1F207A28},KENDAL CT,67,C,'-9.62,asphalt,2,209.43200480749206,50,20,5 Years and 1 Months,10854.727836470847,paved,,City,Cul-de-sac,,,E LONGLEAF DR,
01KP4C82Y7JWHNNRSNJ0K7SZXH,{D655CE53-4957-485F-9363-00E293D37291},N DONAHUE DR,67,C,8,asphalt,2,451.12700000283075,24,30,7 Years and 7 Months,11223.180470546615,paved,,City,Arterial,,,GENELDA AV,W GLENN AV
01KP4C8339GK0DQ9T3ZWJWCXMD,{88808A65-A9E2-425E-89CF-2B036FFB9374},CARRIAGEHOUSE LN,67,C,'-11.67,asphalt,2,293.48778911512375,50,20,5 Years and 1 Months,15211.285768383459,paved,,City,Local,,,MARTIN LUTHER KING DR,SURREY LN
01KP4C7RGDPBZDAYKQ7MW1A0QC,{52A9B71A-1047-421D-8531-6E421B6F83C6},JAMES BURT PKWY,67,C,3.94,asphalt,2,532.3770857254295,60,30,7 Years and 7 Months,33111.319603142074,paved,,City,Residential Collector,,,W FARMVILLE RD,ELM ST
01KP4C7RHMSQ33W9KYR336WZPQ,{F4FA0493-565C-4627-B9E7-13E06162155C},HABERSHAM DR,67,C,'-6,asphalt,2,590.2003672821977,50,20,5 Years and 1 Months,30589.710305844375,paved,,City,Cul-de-sac,,,HARROGATE LN,
01KP4C7YYXMXQ5NWAMXWTWP4H6,{9045F6C8-DA9F-48D3-B4F8-4DA20C241443},PATRICK RD,67,C,'-6.56,asphalt,2,436.726166747273,50,20,5 Years and 1 Months,22635.239936056085,paved,,City,Local,,,MOORES MILL DR,RIVERWOOD DR
01KP4C7ZAKEV4AX73ZAYCQXAYN,{2BB6D361-6242-4EC7-B1A1-331A207A7F48},SANDERS ST,67,C,16.88,asphalt,2,404.2598677473092,60,28,7 Years and 1 Months,25143.038726893363,paved,,City,Residential Collector,,,WILSON ST,N CEDARBROOK DR
01KP4C8DXXKGFW0VTKK49K8CWX,{D9D16FAA-B681-4081-9D50-3CDE35DC1C98},NATURES TRL,67,C,'-4.75,asphalt,2,235.39081923901654,50,20,5 Years and 1 Months,12200.156706669823,paved,,City,Local,,,W FARMVILLE RD,FORREST CV
01KP4C7ZE28YNCMAFY8GK6TPCJ,{03432240-AC06-4A77-9380-F3EFCC761230},CRESCENT BLVD,67,C,'-9,asphalt,2,270.9941260051157,80,30,7 Years and 7 Months,22472.72558573216,paved,,City,Residential Collector,,,N DONAHUE DR,
01KP4C82VXGXE9S7BV21NT946M,{C9355A9B-8C4D-4901-A064-71C770D794A5},PENNY LN,67,C,'-7.35,asphalt,2,554.7281361081477,60,20,5 Years and 1 Months,34501.44850337389,paved,,City,Cul-de-sac,,,S CEDARBROOK DR,
01KP4C8ACGFS4H445CEBWX9VNQ,{14B60EA9-8D02-48B8-8552-F02C2A635A5A},ARBOR RIDGE DR,67,C,'-18,asphalt,2,321.52405830644307,50,20,5 Years and 1 Months,16664.3877997637,paved,,City,Local,,,MARA VISTA DR,RAVENWOOD DR
01KP4C82VGAE93GVWDNNY1EH2N,{7795B7F5-D3C0-4F7E-9026-FF92D7031BB7},CHARLES AV,67,C,'-2.62,asphalt,2,462.61485742682714,60,30,7 Years and 7 Months,28772.441204056136,paved,,City,Local,,,OWENS RD,HICKORY LN
01KP4C7ZDT1AKS6B52PR4P59R2,{1382BC87-28F4-407D-A1B1-BAA9F128708C},ASHETON LN,67,C,'-13.75,asphalt,2,427.7199404443281,60,30,7 Years and 7 Months,26602.14353401604,paved,,City,Residential Collector,,,HILLTON CT,AMBERTON CT
01KP4C82N73WS0YAQ3GQM8VZ5S,{D5212A67-FC54-4138-8EFE-8215C7632054},RIVERWOOD DR,67,C,'-9.75,asphalt,2,278.9954556543644,50,20,5 Years and 1 Months,14460.15732659386,paved,,City,Local,,,PATRICK RD,ROSEMARY CT
01KP4C8E5P2NP7BRNVBJANQGGY,{D7663543-2096-4381-9870-8DEA9D26A032},PING CT,67,C,4,asphalt,2,304.3947191323511,50,20,5 Years and 1 Months,15776.58502614142,paved,,City,Cul-de-sac,,,YARBROUGH FARMS BLVD,
01KP4C7ZE5Y50KEXKJP83DA5HM,{84177562-2E00-443E-89D2-1E2E9AA5B5B1},SIERRA CT,67,C,'-2.5,asphalt,2,242.33124752580864,50,28,7 Years and 1 Months,12559.874698153122,paved,,City,Cul-de-sac,,,PIEDMONT DR,
01KP4C7ZCRQN4N317F0JAKPSBE,{3D7E0092-6AAD-40B3-BDCD-55EBD47D364C},N DONAHUE DR,67,C,8.25,asphalt,2,442.9537903401643,70,6,1 Years and 6 Months,32141.219197960476,paved,,City,Arterial,,,JULIE AV,CROSBY CIR
01KP4C7YZGK2YN7NPVMSP3TSPA,{AA6D8471-38A4-4B9B-9492-C2E14A67022E},E SAMFORD AV,67,C,'-10.5,asphalt,2,727.7537542486687,60,20,5 Years and 1 Months,45262.818020199345,paved,,City,Arterial,,,GREEN ST,DENSON DR
01KP4C82QH229T9WRP5V36QZ13,{2E0569B8-92BD-4878-94A6-28BF50257AF4},N GAY ST,67,C,2.5,asphalt,2,57.29394852320885,60,28,7 Years and 1 Months,3563.410769817289,paved,,City,Arterial,,,TICHENOR AV,TICHENOR AV
01KP4C7VMZVWPV3BGPG0AD77F2,{0182BD1E-EB2F-4E02-988E-0083BC34C9F4},N DONAHUE DR,67,C,18.5,asphalt,2,247.74599369587028,60,6,1 Years and 6 Months,15408.621065056008,paved,,City,Arterial,,,LUVERNE AV,BEDELL AV
01KP4C8AR8PVE3DMSNRE1K9ZW7,{C01A85F0-78DD-48FA-816C-CA31087888D7},COOL STONE BEND DR,67,C,17.13,asphalt,2,264.9051754925616,50,20,5 Years and 1 Months,13729.86705201725,paved,,City,Cul-de-sac,,,,LANDON LN
01KP4C85HT3DCMHVF3J7YQ0574,{3261C865-6576-40BF-8501-08D6FD0AD558},TROTTERS CT,67,C,'-4.17,asphalt,2,683.2893426123621,50,20,5 Years and 1 Months,35414.45279309548,paved,,City,Cul-de-sac,,,CARRIAGEHOUSE LN,
